Time,Cur.,Imp.,Event,Actual,Forecast,Previous,Unnamed: 7_level_0,Unnamed: 8_level_0
All Day,,0,Australia - ANZAC Day,Australia - ANZAC Day,Australia - ANZAC Day,Australia - ANZAC Day,Australia - ANZAC Day,Australia - ANZAC Day
All Day,,0,New Zealand - ANZAC Day,New Zealand - ANZAC Day,New Zealand - ANZAC Day,New Zealand - ANZAC Day,New Zealand - ANZAC Day,New Zealand - ANZAC Day
01:00,JPY,1,Coincident Indicator (MoM),,,-1.2%,,
01:00,JPY,1,Leading Index (MoM),,2.3%,-0.4%,,
01:00,JPY,1,Leading Index,,111.8,109.5,,
02:00,EUR,2,GfK German Consumer Climate (May),,-25.9,-27.4,,
02:45,EUR,1,French Business Survey (Apr),,,102,,
03:00,EUR,1,Spanish PPI (YoY),,,-8.2%,,
03:00,EUR,2,ECB's Schnabel Speaks,,,,,
04:00,EUR,2,ECB Economic Bulletin,,,,,
04:30,HKD,1,Exports (MoM) (Mar),,,-0.8%,,
04:30,HKD,1,Imports (MoM) (Mar),,,-1.8%,,
04:30,HKD,1,Trade Balance,,,-41.7B,,
05:30,ZAR,1,PPI (MoM) (Mar),,,0.5%,,
05:30,ZAR,1,PPI (YoY) (Mar),,,4.5%,,
06:00,GBP,1,CBI Distributive Trades Survey (Apr),,,2,,
06:00,EUR,2,France Jobseekers Total,,,"2,811.9K",,
07:30,BRL,1,Current Account (USD) (Mar),,,-4.37B,,
07:30,BRL,1,Foreign direct investment (USD) (Mar),,,5.01B,,
08:00,BRL,1,BCB National Monetary Council Meeting,,,,,
08:30,USD,2,Continuing Jobless Claims,,,"1,812K",,
08:30,USD,1,Core PCE Prices (Q1),,,2.00%,,
08:30,USD,3,GDP (QoQ) (Q1),,2.5%,3.4%,,
08:30,USD,2,GDP Price Index (QoQ) (Q1),,3.0%,1.7%,,
08:30,USD,1,GDP Sales (Q1),,,3.9%,,
08:30,USD,2,Goods Trade Balance (Mar),,-91.20B,-90.30B,,
08:30,USD,3,Initial Jobless Claims,,215K,212K,,
08:30,USD,1,Jobless Claims 4-Week Avg.,,,214.50K,,
08:30,USD,1,PCE Prices (Q1),,,1.8%,,
08:30,USD,1,Real Consumer Spending (Q1),,2.8%,3.3%,,
08:30,USD,2,Retail Inventories Ex Auto (Mar),,,0.4%,,
08:30,USD,1,Wholesale Inventories (MoM),,0.2%,0.5%,,
08:30,CAD,1,Average Weekly Earnings (YoY) (Feb),,,3.88%,,
09:00,RUB,1,Central Bank reserves (USD),,,600.7B,,
09:30,BRL,1,Federal Tax Revenue,,,186.50B,,
10:00,USD,2,Pending Home Sales (MoM) (Mar),,0.9%,1.6%,,
10:00,USD,1,Pending Home Sales Index (Mar),,,75.6,,
10:30,USD,1,Natural Gas Storage,,,50B,,
11:00,USD,1,KC Fed Composite Index (Apr),,,-7,,
11:00,USD,1,KC Fed Manufacturing Index (Apr),,,-9,,
11:15,EUR,2,German Buba President Nagel Speaks,,,,,
11:30,USD,1,4-Week Bill Auction,,,5.280%,,
11:30,USD,1,8-Week Bill Auction,,,5.275%,,
11:45,EUR,2,German Buba Mauderer Speaks,,,,,
13:00,USD,2,7-Year Note Auction,,,4.185%,,
16:30,USD,2,Fed's Balance Sheet,,,"7,406B",,
16:30,USD,1,Reserve Balances with Federal Reserve Banks,,,3.330T,,
19:01,GBP,1,GfK Consumer Confidence (Apr),,-20,-21,,
19:30,JPY,1,CPI Tokyo Ex Food & Energy (YoY) (Apr),,,2.3%,,
19:30,JPY,2,Tokyo Core CPI (YoY) (Apr),,2.2%,2.4%,,
19:30,JPY,1,Tokyo CPI (YoY) (Apr),,2.6%,2.6%,,
19:30,JPY,1,CPI Tokyo Ex Food and Energy (MoM) (Apr),,,0.2%,,
20:30,SGD,1,URA Property Index (QoQ),,,1.50%,,
21:30,AUD,1,Export Price Index (QoQ) (Q1),,,5.6%,,
21:30,AUD,1,Import Price Index (QoQ) (Q1),,0.1%,1.1%,,
21:30,AUD,2,PPI (YoY) (Q1),,,4.1%,,
21:30,AUD,2,PPI (QoQ) (Q1),,,0.9%,,
22:30,JPY,2,BoJ Monetary Policy Statement,,,,,
22:30,JPY,2,BoJ Outlook Report (YoY),,,,,
23:00,JPY,3,BoJ Interest Rate Decision,,,0.10%,,
"Friday, April 26, 2024","Friday, April 26, 2024","Friday, April 26, 2024","Friday, April 26, 2024","Friday, April 26, 2024","Friday, April 26, 2024","Friday, April 26, 2024","Friday, April 26, 2024","Friday, April 26, 2024"
01:00,SGD,1,Industrial Production (YoY) (Mar),,,3.8%,,
01:00,SGD,1,Industrial Production (MoM) (Mar),,,14.2%,,
02:30,JPY,2,BoJ Press Conference,,,,,
02:45,EUR,1,French Consumer Confidence (Apr),,,91,,
03:00,EUR,1,Spanish Retail Sales (YoY) (Mar),,,1.9%,,
03:00,EUR,1,Spanish Unemployment Rate (Q1),,11.70%,11.76%,,
04:00,CHF,2,SNB Board Member Jordan Speaks,,,,,
04:00,EUR,2,ECB's De Guindos Speaks,,,,,
